Gene stable ID,Gene name,UniProtKB/Swiss-Prot ID
ENSMUSG00000041731,Pgm5,Q8BZF8
ENSMUSG00000024601,Isoc1,Q91V64
ENSMUSG00000024601,Isoc1,
ENSMUSG00000073131,Vma21,Q78T54
ENSMUSG00000073131,Vma21,
ENSMUSG00000073131,Vma21,
ENSMUSG00000020607,Lratd1,
ENSMUSG00000020607,Lratd1,
ENSMUSG00000020601,Trib2,Q8K4K3
ENSMUSG00000073555,Iigp1c,
ENSMUSG00000020601,Trib2,
ENSMUSG00000020601,Trib2,
ENSMUSG00000035142,Nubpl,
ENSMUSG00000056537,Rlim,Q9WTV7
ENSMUSG00000035142,Nubpl,Q9CWD8
ENSMUSG00000056537,Rlim,Q9WTV7
ENSMUSG00000021242,Npc2,Q9Z0J0
ENSMUSG00000022820,Ndufb4,Q9CQC7
ENSMUSG00000021241,Isca2,Q9DCB8
ENSMUSG00000021241,Isca2,
ENSMUSG00000021241,Isca2,
ENSMUSG00000021241,Isca2,
ENSMUSG00000024604,Rbm22,Q8BHS3
ENSMUSG00000035133,Arhgap5,P97393
ENSMUSG00000035133,Arhgap5,
ENSMUSG00000035133,Arhgap5,P97393
ENSMUSG00000060657,Marf1,Q8BJ34
ENSMUSG00000024302,Dtna,
ENSMUSG00000060657,Marf1,
ENSMUSG00000022816,Fstl1,Q62356
ENSMUSG00000034158,Lrrc58,Q3UGP9
ENSMUSG00000021010,Npas3,
ENSMUSG00000024878,Zng1,Q8VEH6
ENSMUSG00000021010,Npas3,
ENSMUSG00000021010,Npas3,
ENSMUSG00000021010,Npas3,
ENSMUSG00000024878,Zng1,
ENSMUSG00000024878,Zng1,
ENSMUSG00000035105,Egln3,
ENSMUSG00000025076,Casp7,P97864
ENSMUSG00000025076,Casp7,
ENSMUSG00000022812,Gsk3b,Q9WV60
ENSMUSG00000022812,Gsk3b,
ENSMUSG00000022812,Gsk3b,
ENSMUSG00000031333,Abcb7,Q61102
ENSMUSG00000073016,Uprt,B1AVZ0
ENSMUSG00000024302,Dtna,
ENSMUSG00000024302,Dtna,
ENSMUSG00000024302,Dtna,
ENSMUSG00000024302,Dtna,Q9D2N4
ENSMUSG00000024302,Dtna,
ENSMUSG00000052085,Dock8,Q8C147
ENSMUSG00000033906,Zdhhc15,Q8BGJ0
ENSMUSG00000022678,Nde1,Q9CZA6
ENSMUSG00000002020,Ltbp2,
ENSMUSG00000022678,Nde1,Q9CZA6
ENSMUSG00000002020,Ltbp2,
ENSMUSG00000002020,Ltbp2,
ENSMUSG00000022678,Nde1,
ENSMUSG00000002020,Ltbp2,
ENSMUSG00000032702,Kank1,E9Q238
ENSMUSG00000002020,Ltbp2,
ENSMUSG00000022678,Nde1,Q9CZA6
ENSMUSG00000032702,Kank1,
ENSMUSG00000022678,Nde1,
ENSMUSG00000002020,Ltbp2,
ENSMUSG00000024277,Mapre2,
ENSMUSG00000024277,Mapre2,
ENSMUSG00000017843,Ppp2r5c,
ENSMUSG00000024277,Mapre2,Q8R001
ENSMUSG00000024277,Mapre2,Q8R001
ENSMUSG00000024277,Mapre2,
ENSMUSG00000024277,Mapre2,
ENSMUSG00000024276,Zfp397,
ENSMUSG00000024276,Zfp397,
ENSMUSG00000063281,Zfp35,P15620
ENSMUSG00000017843,Ppp2r5c,
ENSMUSG00000051469,Zfp24,Q91VN1
ENSMUSG00000051469,Zfp24,Q91VN1
ENSMUSG00000051469,Zfp24,
ENSMUSG00000025078,Nhlrc2,Q8BZW8
ENSMUSG00000025078,Nhlrc2,
ENSMUSG00000035283,Adrb1,P34971
ENSMUSG00000047989,Ino80c,Q8BHA0
ENSMUSG00000047989,Ino80c,
ENSMUSG00000047989,Ino80c,
ENSMUSG00000047989,Ino80c,
ENSMUSG00000068114,Ccdc134,Q8C7V8
ENSMUSG00000068114,Ccdc134,
ENSMUSG00000068114,Ccdc134,
ENSMUSG00000068114,Ccdc134,
ENSMUSG00000035173,Ccdc186,Q8C9S4
ENSMUSG00000035173,Ccdc186,
ENSMUSG00000017843,Ppp2r5c,Q60996
ENSMUSG00000002489,Tiam1,
ENSMUSG00000035173,Ccdc186,Q8C9S4
ENSMUSG00000002489,Tiam1,
ENSMUSG00000002489,Tiam1,
ENSMUSG00000002489,Tiam1,
ENSMUSG00000017843,Ppp2r5c,Q60996
ENSMUSG00000002489,Tiam1,
ENSMUSG00000002489,Tiam1,
ENSMUSG00000017843,Ppp2r5c,Q60996
ENSMUSG00000017843,Ppp2r5c,Q60996
ENSMUSG00000000420,Galnt1,O08912
ENSMUSG00000000420,Galnt1,O08912
ENSMUSG00000000420,Galnt1,
ENSMUSG00000000420,Galnt1,
ENSMUSG00000000420,Galnt1,
ENSMUSG00000000420,Galnt1,O08912
ENSMUSG00000022982,Sod1,P08228
ENSMUSG00000024273,2700062C07Rik,
ENSMUSG00000024273,2700062C07Rik,Q5XFZ0
ENSMUSG00000040446,Rprd1a,Q8VDS4
ENSMUSG00000024855,Pacs1,Q8K212
ENSMUSG00000041849,Card6,
ENSMUSG00000041849,Card6,
ENSMUSG00000041841,Rpl37,Q9D823
ENSMUSG00000024855,Pacs1,
ENSMUSG00000042350,Arel1,
ENSMUSG00000024855,Pacs1,
ENSMUSG00000024269,Tpgs2,
ENSMUSG00000050697,Prkaa1,
ENSMUSG00000042350,Arel1,Q8CHG5
ENSMUSG00000024269,Tpgs2,
ENSMUSG00000050697,Prkaa1,Q5EG47
ENSMUSG00000042350,Arel1,
ENSMUSG00000042350,Arel1,
ENSMUSG00000042350,Arel1,
ENSMUSG00000022983,Scaf4,Q7TSH6
ENSMUSG00000042350,Arel1,
ENSMUSG00000042350,Arel1,
ENSMUSG00000022983,Scaf4,Q7TSH6
ENSMUSG00000022983,Scaf4,Q7TSH6
ENSMUSG00000031226,Pbdc1,Q9D0B6
ENSMUSG00000031226,Pbdc1,Q9D0B6
ENSMUSG00000024853,Sf3b2,Q3UJB0
ENSMUSG00000024853,Sf3b2,
ENSMUSG00000022463,Srebf2,Q3U1N2
ENSMUSG00000022463,Srebf2,Q3U1N2
ENSMUSG00000022978,Mis18a,Q9CZJ6
ENSMUSG00000022463,Srebf2,
ENSMUSG00000022463,Srebf2,
ENSMUSG00000018707,Dync1h1,Q9JHU4
ENSMUSG00000018707,Dync1h1,
ENSMUSG00000021243,Fcf1,Q9CTH6
ENSMUSG00000021243,Fcf1,
ENSMUSG00000039929,Urb1,
ENSMUSG00000024268,Celf4,Q7TSY6
ENSMUSG00000024268,Celf4,Q7TSY6
ENSMUSG00000024268,Celf4,Q7TSY6
ENSMUSG00000031229,Atrx,Q61687
ENSMUSG00000024268,Celf4,Q7TSY6
ENSMUSG00000021270,Hsp90aa1,P07901
ENSMUSG00000022369,Mtbp,Q8BJS8
ENSMUSG00000024268,Celf4,
ENSMUSG00000021270,Hsp90aa1,P07901
ENSMUSG00000031229,Atrx,
ENSMUSG00000022369,Mtbp,Q8BJS8
ENSMUSG00000031229,Atrx,
ENSMUSG00000022369,Mtbp,
ENSMUSG00000024268,Celf4,Q7TSY6
ENSMUSG00000021270,Hsp90aa1,
ENSMUSG00000022369,Mtbp,Q8BJS8
ENSMUSG00000021270,Hsp90aa1,
ENSMUSG00000021270,Hsp90aa1,
ENSMUSG00000031229,Atrx,
ENSMUSG00000031229,Atrx,
ENSMUSG00000031229,Atrx,
ENSMUSG00000031229,Atrx,
ENSMUSG00000060429,Sntb1,Q99L88
ENSMUSG00000031229,Atrx,
ENSMUSG00000060429,Sntb1,Q99L88
ENSMUSG00000031229,Atrx,
ENSMUSG00000031229,Atrx,
ENSMUSG00000031229,Atrx,
ENSMUSG00000031229,Atrx,
ENSMUSG00000031229,Atrx,
ENSMUSG00000031229,Atrx,
ENSMUSG00000031229,Atrx,
ENSMUSG00000031229,Atrx,
ENSMUSG00000031229,Atrx,
ENSMUSG00000022151,Ttc33,Q9D6K7
ENSMUSG00000022151,Ttc33,Q9D6K7
ENSMUSG00000022151,Ttc33,Q9D6K7
ENSMUSG00000022151,Ttc33,
ENSMUSG00000022151,Ttc33,
ENSMUSG00000022367,Has2,P70312
ENSMUSG00000041353,Vcf2,
ENSMUSG00000039942,Ptger4,
ENSMUSG00000039942,Ptger4,P32240
ENSMUSG00000041353,Vcf2,
ENSMUSG00000041353,Vcf2,
ENSMUSG00000024844,Banf1,O54962
ENSMUSG00000024844,Banf1,O54962
ENSMUSG00000071757,Zhx2,Q8C0C0
ENSMUSG00000024844,Banf1,O54962
ENSMUSG00000024841,Eif1ad,Q3THJ3
ENSMUSG00000022365,Derl1,Q99J56
ENSMUSG00000041817,Fam169a,Q5XG69
ENSMUSG00000041817,Fam169a,Q5XG69
ENSMUSG00000033628,Pik3c3,Q6PF93
ENSMUSG00000018830,Myh11,
ENSMUSG00000033628,Pik3c3,
ENSMUSG00000018830,Myh11,
ENSMUSG00000033628,Pik3c3,
ENSMUSG00000033628,Pik3c3,
ENSMUSG00000018830,Myh11,
ENSMUSG00000031232,Magt1,Q9CQY5
ENSMUSG00000031232,Magt1,Q9CQY5
ENSMUSG00000031232,Magt1,Q9CQY5
ENSMUSG00000060739,Nsa2,Q9CR47
ENSMUSG00000060739,Nsa2,
ENSMUSG00000031232,Magt1,
ENSMUSG00000031232,Magt1,
ENSMUSG00000022677,Cep20,
ENSMUSG00000022364,Tbc1d31,Q6NXY1
ENSMUSG00000022677,Cep20,Q9CZS3
ENSMUSG00000031231,Cox7b,P56393
ENSMUSG00000024579,Pcyox1l,Q8C7K6
ENSMUSG00000024579,Pcyox1l,
ENSMUSG00000024580,Grpel2,O88396
ENSMUSG00000024580,Grpel2,
ENSMUSG00000022364,Tbc1d31,
ENSMUSG00000021359,Tfap2a,
ENSMUSG00000022364,Tbc1d31,
ENSMUSG00000033032,Afap1l1,
ENSMUSG00000021359,Tfap2a,
ENSMUSG00000021359,Tfap2a,
ENSMUSG00000021359,Tfap2a,
ENSMUSG00000021359,Tfap2a,
ENSMUSG00000039148,Sart1,Q9Z315
ENSMUSG00000025269,Apex2,
ENSMUSG00000025269,Apex2,Q68G58
ENSMUSG00000025269,Apex2,Q68G58
ENSMUSG00000021359,Tfap2a,
ENSMUSG00000025269,Apex2,
ENSMUSG00000039148,Sart1,
ENSMUSG00000025269,Apex2,
ENSMUSG00000025269,Apex2,
ENSMUSG00000062373,Tmem65,Q4VAE3
ENSMUSG00000025269,Apex2,
ENSMUSG00000033032,Afap1l1,Q8BZI0
ENSMUSG00000020593,Lpin1,
ENSMUSG00000037085,Trmt12,Q8BG71
ENSMUSG00000020593,Lpin1,
ENSMUSG00000020593,Lpin1,
ENSMUSG00000037075,Rnf139,
ENSMUSG00000020593,Lpin1,
ENSMUSG00000020593,Lpin1,
ENSMUSG00000020593,Lpin1,
ENSMUSG00000022972,Cfap298,Q8BL95
ENSMUSG00000022972,Cfap298,
ENSMUSG00000020593,Lpin1,
ENSMUSG00000022972,Cfap298,
ENSMUSG00000022972,Cfap298,
ENSMUSG00000020593,Lpin1,
ENSMUSG00000022972,Cfap298,
ENSMUSG00000037957,Wdr20,
ENSMUSG00000037957,Wdr20,
ENSMUSG00000037957,Wdr20,
ENSMUSG00000037957,Wdr20,
ENSMUSG00000024914,Drap1,
ENSMUSG00000024914,Drap1,Q9D6N5
ENSMUSG00000024914,Drap1,
ENSMUSG00000024914,Drap1,
ENSMUSG00000024914,Drap1,
ENSMUSG00000047423,AI837181,Q8VD62
ENSMUSG00000047423,AI837181,Q8VD62
ENSMUSG00000024912,Fosl1,P48755
ENSMUSG00000024912,Fosl1,
ENSMUSG00000095098,Ccdc85b,Q6PDY0
ENSMUSG00000095098,Ccdc85b,
ENSMUSG00000021244,Ylpm1,
ENSMUSG00000021244,Ylpm1,
ENSMUSG00000045629,Sh3tc2,
ENSMUSG00000021244,Ylpm1,
ENSMUSG00000045629,Sh3tc2,Q80VA5
ENSMUSG00000033792,Atp7a,
ENSMUSG00000045629,Sh3tc2,
ENSMUSG00000045629,Sh3tc2,Q80VA5
ENSMUSG00000045730,Adrb2,P18762
ENSMUSG00000033792,Atp7a,Q64430
ENSMUSG00000021244,Ylpm1,Q9R0I7
ENSMUSG00000056458,Mok,
ENSMUSG00000056458,Mok,Q9WVS4
ENSMUSG00000056458,Mok,
ENSMUSG00000062070,Pgk1,P09411
ENSMUSG00000062070,Pgk1,
ENSMUSG00000024400,Wdr33,
ENSMUSG00000022973,Synj1,
ENSMUSG00000024400,Wdr33,
ENSMUSG00000022973,Synj1,
ENSMUSG00000022973,Synj1,
ENSMUSG00000021271,Zfp839,
ENSMUSG00000022973,Synj1,
ENSMUSG00000022973,Synj1,
ENSMUSG00000022973,Synj1,
ENSMUSG00000022973,Synj1,
ENSMUSG00000021271,Zfp839,
ENSMUSG00000021271,Zfp839,
ENSMUSG00000024400,Wdr33,Q8K4P0
ENSMUSG00000022973,Synj1,
ENSMUSG00000024400,Wdr33,
ENSMUSG00000022973,Synj1,
ENSMUSG00000025083,Afap1l2,Q5DTU0
ENSMUSG00000044982,Sft2d3,Q9CSV6
ENSMUSG00000025083,Afap1l2,Q5DTU0
ENSMUSG00000022674,Ube2v2,
ENSMUSG00000079641,Rpl39,P62892
ENSMUSG00000022674,Ube2v2,Q9D2M8
ENSMUSG00000025083,Afap1l2,
ENSMUSG00000022674,Ube2v2,Q9D2M8
ENSMUSG00000025083,Afap1l2,
ENSMUSG00000022674,Ube2v2,
ENSMUSG00000022674,Ube2v2,
ENSMUSG00000025083,Afap1l2,
ENSMUSG00000025083,Afap1l2,
ENSMUSG00000026322,Htr4,P97288
ENSMUSG00000026322,Htr4,
ENSMUSG00000026322,Htr4,P97288
ENSMUSG00000026322,Htr4,P97288
ENSMUSG00000094103,Fam177a2,Q8BR63
ENSMUSG00000024911,Fibp,Q9JI19
ENSMUSG00000022673,Mcm4,P49717
ENSMUSG00000022673,Mcm4,
ENSMUSG00000022673,Mcm4,
ENSMUSG00000022150,Dab2,
ENSMUSG00000024911,Fibp,
ENSMUSG00000022150,Dab2,
ENSMUSG00000021666,Gfm2,
ENSMUSG00000022150,Dab2,
ENSMUSG00000036572,Upf3b,
ENSMUSG00000036572,Upf3b,
ENSMUSG00000022150,Dab2,
ENSMUSG00000021276,Cinp,Q9D0V8
ENSMUSG00000022150,Dab2,
ENSMUSG00000021276,Cinp,
ENSMUSG00000021276,Cinp,
ENSMUSG00000021276,Cinp,
ENSMUSG00000021276,Cinp,
ENSMUSG00000022150,Dab2,
ENSMUSG00000021276,Cinp,
ENSMUSG00000022150,Dab2,
ENSMUSG00000021276,Cinp,
ENSMUSG00000022150,Dab2,
ENSMUSG00000022150,Dab2,
ENSMUSG00000022150,Dab2,
ENSMUSG00000022150,Dab2,
ENSMUSG00000021276,Cinp,
ENSMUSG00000038604,Ripor1,Q68FE6
ENSMUSG00000016409,Nkap,Q9D0F4
ENSMUSG00000022974,Paxbp1,P58501
ENSMUSG00000021938,Pspc1,Q8R326
ENSMUSG00000005698,Ctcf,Q61164
ENSMUSG00000021938,Pspc1,Q8R326
ENSMUSG00000021938,Pspc1,
ENSMUSG00000016427,Ndufa1,O35683
ENSMUSG00000031618,Nr3c2,
ENSMUSG00000022974,Paxbp1,
ENSMUSG00000022974,Paxbp1,
ENSMUSG00000050891,Tatdn1,
ENSMUSG00000050891,Tatdn1,
ENSMUSG00000050891,Tatdn1,Q6P8M1
ENSMUSG00000050891,Tatdn1,
ENSMUSG00000004789,Dlst,Q9D2G2
ENSMUSG00000050891,Tatdn1,
ENSMUSG00000004789,Dlst,Q9D2G2
ENSMUSG00000050891,Tatdn1,
ENSMUSG00000050891,Tatdn1,
ENSMUSG00000022354,Ndufb9,Q9CQJ8
ENSMUSG00000004789,Dlst,
ENSMUSG00000031618,Nr3c2,
ENSMUSG00000031618,Nr3c2,
ENSMUSG00000031618,Nr3c2,
ENSMUSG00000031618,Nr3c2,
ENSMUSG00000031618,Nr3c2,
ENSMUSG00000031618,Nr3c2,
ENSMUSG00000021666,Gfm2,Q8R2Q4
ENSMUSG00000055639,Dach1,Q9QYB2
ENSMUSG00000055639,Dach1,Q9QYB2
ENSMUSG00000024909,Efemp2,Q9WVJ9
ENSMUSG00000024909,Efemp2,
ENSMUSG00000024384,Iws1,Q8C1D8
ENSMUSG00000079108,Srp54c,
ENSMUSG00000024909,Efemp2,
ENSMUSG00000024384,Iws1,
ENSMUSG00000079108,Srp54c,
ENSMUSG00000024909,Efemp2,Q9WVJ9
ENSMUSG00000024384,Iws1,
ENSMUSG00000024384,Iws1,
ENSMUSG00000024384,Iws1,
ENSMUSG00000024909,Efemp2,
ENSMUSG00000024909,Efemp2,
ENSMUSG00000024909,Efemp2,
ENSMUSG00000021666,Gfm2,Q8R2Q4
ENSMUSG00000024909,Efemp2,
ENSMUSG00000021666,Gfm2,
ENSMUSG00000024909,Efemp2,
ENSMUSG00000024909,Efemp2,
ENSMUSG00000024909,Efemp2,
ENSMUSG00000021666,Gfm2,
ENSMUSG00000024909,Efemp2,
ENSMUSG00000024909,Efemp2,
ENSMUSG00000021666,Gfm2,
ENSMUSG00000022708,Zbtb20,
ENSMUSG00000024909,Efemp2,
ENSMUSG00000024386,Proc,P33587
ENSMUSG00000021666,Gfm2,Q8R2Q4
ENSMUSG00000040123,Zmym5,Q3U2E2
ENSMUSG00000024386,Proc,
ENSMUSG00000021666,Gfm2,
ENSMUSG00000040123,Zmym5,
ENSMUSG00000040123,Zmym5,Q3U2E2
ENSMUSG00000024386,Proc,
ENSMUSG00000040123,Zmym5,Q3U2E2
ENSMUSG00000024386,Proc,
ENSMUSG00000024386,Proc,
ENSMUSG00000031592,Pcm1,
ENSMUSG00000024386,Proc,P33587
ENSMUSG00000021665,Hexb,P20060
ENSMUSG00000022708,Zbtb20,Q8K0L9
ENSMUSG00000024906,Mus81,
ENSMUSG00000022708,Zbtb20,
ENSMUSG00000024383,Map3k2,
ENSMUSG00000022708,Zbtb20,Q8K0L9
ENSMUSG00000024906,Mus81,Q91ZJ0
ENSMUSG00000022708,Zbtb20,
ENSMUSG00000022708,Zbtb20,
ENSMUSG00000022708,Zbtb20,
ENSMUSG00000022708,Zbtb20,
ENSMUSG00000022708,Zbtb20,
ENSMUSG00000022708,Zbtb20,Q8K0L9
ENSMUSG00000022708,Zbtb20,Q8K0L9
ENSMUSG00000024906,Mus81,
ENSMUSG00000022353,Mtss1,
ENSMUSG00000022708,Zbtb20,Q8K0L9
ENSMUSG00000024906,Mus81,
ENSMUSG00000024906,Mus81,
ENSMUSG00000021366,Hivep1,
ENSMUSG00000021366,Hivep1,
ENSMUSG00000024382,Ercc3,P49135
ENSMUSG00000021366,Hivep1,
ENSMUSG00000022353,Mtss1,
ENSMUSG00000021366,Hivep1,
ENSMUSG00000022353,Mtss1,
ENSMUSG00000022353,Mtss1,
ENSMUSG00000021367,Edn1,P22387
ENSMUSG00000021022,Ppp2r3c,Q9JK24
ENSMUSG00000024135,Srbd1,
ENSMUSG00000041852,Tcf20,Q9EPQ8
ENSMUSG00000037572,Wdhd1,
ENSMUSG00000037572,Wdhd1,
ENSMUSG00000041852,Tcf20,Q9EPQ8
ENSMUSG00000041852,Tcf20,
ENSMUSG00000041852,Tcf20,
ENSMUSG00000037572,Wdhd1,
ENSMUSG00000041852,Tcf20,
ENSMUSG00000037572,Wdhd1,P59328
ENSMUSG00000024922,Ovol1,Q9WTJ2
ENSMUSG00000031592,Pcm1,Q9R0L6
ENSMUSG00000024922,Ovol1,
ENSMUSG00000031592,Pcm1,Q9R0L6
ENSMUSG00000048379,Socs4,Q91ZA6
ENSMUSG00000024135,Srbd1,
ENSMUSG00000049562,Ap5b1,Q3TAP4
ENSMUSG00000024135,Srbd1,
ENSMUSG00000048379,Socs4,
ENSMUSG00000049562,Ap5b1,
ENSMUSG00000024135,Srbd1,
ENSMUSG00000049562,Ap5b1,Q3TAP4
ENSMUSG00000021945,Zmym2,
ENSMUSG00000004791,Pgf,
ENSMUSG00000071267,Zfp942,
ENSMUSG00000071267,Zfp942,
ENSMUSG00000004791,Pgf,P49764
ENSMUSG00000053347,Zfp943,
ENSMUSG00000024925,Rnaseh2c,Q9CQ18
ENSMUSG00000053347,Zfp943,
ENSMUSG00000024925,Rnaseh2c,
ENSMUSG00000053347,Zfp943,
ENSMUSG00000024925,Rnaseh2c,
ENSMUSG00000024925,Rnaseh2c,
ENSMUSG00000021945,Zmym2,Q9CU65
ENSMUSG00000096433,Zfp994,
ENSMUSG00000038299,Wdr36,
ENSMUSG00000038299,Wdr36,
ENSMUSG00000033972,Zfp944,
ENSMUSG00000021840,Mapk1ip1l,Q8BH93
ENSMUSG00000021840,Mapk1ip1l,
ENSMUSG00000044501,Zfp758,
ENSMUSG00000021840,Mapk1ip1l,Q8BH93
ENSMUSG00000031239,Itm2a,Q61500
ENSMUSG00000021840,Mapk1ip1l,
ENSMUSG00000044501,Zfp758,
ENSMUSG00000044501,Zfp758,
ENSMUSG00000044501,Zfp758,
ENSMUSG00000071266,Zfp946,
ENSMUSG00000071266,Zfp946,
ENSMUSG00000021275,Tecpr2,
ENSMUSG00000071266,Zfp946,
ENSMUSG00000021275,Tecpr2,
ENSMUSG00000050335,Lgals3,
ENSMUSG00000021275,Tecpr2,
ENSMUSG00000024378,Stard4,
ENSMUSG00000024378,Stard4,
ENSMUSG00000024378,Stard4,
ENSMUSG00000024143,Rhoq,Q8R527
ENSMUSG00000024143,Rhoq,
ENSMUSG00000024143,Rhoq,
ENSMUSG00000050335,Lgals3,
ENSMUSG00000004788,Eif2b2,Q99LD9
ENSMUSG00000031591,Asah1,Q9WV54
ENSMUSG00000004788,Eif2b2,
ENSMUSG00000042834,Nrep,Q07475
ENSMUSG00000050335,Lgals3,
ENSMUSG00000004788,Eif2b2,
ENSMUSG00000042834,Nrep,Q07475
ENSMUSG00000050335,Lgals3,
ENSMUSG00000042834,Nrep,Q07475
ENSMUSG00000021662,Arhgef28,
ENSMUSG00000050335,Lgals3,
ENSMUSG00000050335,Lgals3,
ENSMUSG00000042834,Nrep,Q07475
ENSMUSG00000022672,Prkdc,P97313
ENSMUSG00000031591,Asah1,
ENSMUSG00000031591,Asah1,
ENSMUSG00000024145,Pigf,O09101
ENSMUSG00000050310,Rictor,Q6QI06
ENSMUSG00000039031,Arhgap18,
ENSMUSG00000037531,Mrpl47,Q8K2Y7
ENSMUSG00000024146,Cript,O70333
ENSMUSG00000022064,Pibf1,
ENSMUSG00000039031,Arhgap18,Q8K0Q5
ENSMUSG00000039031,Arhgap18,
ENSMUSG00000059586,Nsmce2,Q91VT1
ENSMUSG00000021662,Arhgef28,P97433
ENSMUSG00000022671,Mzt2,Q9CQ25
ENSMUSG00000022671,Mzt2,
ENSMUSG00000021662,Arhgef28,P97433
ENSMUSG00000059586,Nsmce2,
ENSMUSG00000022671,Mzt2,Q9CQ25
ENSMUSG00000071637,Cebpd,Q00322
ENSMUSG00000059586,Nsmce2,Q91VT1
ENSMUSG00000037104,Socs5,O54928
ENSMUSG00000031590,Frg1,P97376
ENSMUSG00000037104,Socs5,
ENSMUSG00000024376,Epb41l4a,P52963
ENSMUSG00000020171,Yeats4,
ENSMUSG00000021662,Arhgef28,
ENSMUSG00000039167,Adgrl4,Q923X1
ENSMUSG00000032501,Trib1,Q8K4K4
ENSMUSG00000021662,Arhgef28,
ENSMUSG00000039167,Adgrl4,
ENSMUSG00000032501,Trib1,Q8K4K4
ENSMUSG00000020171,Yeats4,Q9CR11
ENSMUSG00000021023,Prorp,
ENSMUSG00000039167,Adgrl4,
ENSMUSG00000013155,Enkd1,
ENSMUSG00000039167,Adgrl4,
ENSMUSG00000059142,Zfp945,
ENSMUSG00000021023,Prorp,Q8JZY4
ENSMUSG00000021023,Prorp,Q8JZY4
ENSMUSG00000013155,Enkd1,Q7TSV9
ENSMUSG00000021023,Prorp,
ENSMUSG00000059142,Zfp945,
ENSMUSG00000021023,Prorp,
ENSMUSG00000031242,Chmp1b2,Q9CQD4
ENSMUSG00000027673,Ndufb5,Q9CQH3
ENSMUSG00000027673,Ndufb5,
ENSMUSG00000021245,Mlh3,
ENSMUSG00000027673,Ndufb5,
ENSMUSG00000027673,Ndufb5,
